id,win_count
1,0
2,2
3,0
4,7
5,4
6,10
7,7
8,8
9,12
10,11
11,11
12,13
13,13
14,15
15,16
16,15
17,10
18,14
19,28
20,30
21,25
22,26
23,27
24,26
25,19
26,27
27,32
28,35
29,32
30,35
31,44
32,38
33,34
34,40
35,36
36,34
37,30
38,52
39,45
40,37
41,41
42,43
43,38
44,37
45,52
46,58
47,57
48,41
49,71
50,51
51,52
52,59
53,58
54,65
55,64
56,60
57,63
58,63
59,65
60,71
61,70
62,72
63,58
64,68
65,62
66,92
67,77
68,85
69,65
70,90
71,88
72,69
73,68
74,97
75,93
76,92
77,76
78,84
79,76
80,91
81,84
82,110
83,82
84,80
85,79
86,94
87,95
88,95
89,105
90,98
91,102
92,102
93,92
94,104
95,115
96,92
97,105
98,112
99,115
100,132
101,124
102,94
103,114
104,115
105,129
106,113
107,103
108,132
109,112
110,126
111,108
112,100
113,138
114,131
115,129
116,136
117,140
118,123
119,136
120,152
121,129
122,141
123,139
124,141
125,158
126,140
127,139
128,142
129,134
130,147
131,152
132,138
133,150
134,155
135,150
136,150
137,158
138,155
139,144
140,147
141,135
142,156
143,126
144,180
145,141
146,163
147,170
148,140
149,192
150,170
151,151
152,177
153,150
154,175
155,162
156,197
157,178
158,175
159,169
160,179
161,192
162,172
163,212
164,180
165,177
166,193
167,192
168,171
169,207
170,201
171,188
172,189
173,186
174,194
175,195
176,214
177,209
178,203
179,192
180,204
181,199
182,216
183,201
184,192
185,180
186,193
187,224
188,217
189,206
190,225
191,199
192,221
193,205
194,228
195,226
196,217
197,222
198,216
199,204
200,229
201,229
202,213
203,208
204,224
205,236
206,222
207,202
208,249
209,246
210,240
211,234
212,222
213,227
214,246
215,240
216,238
217,231
218,217
219,241
220,253
221,223
222,231
223,238
224,254
225,266
226,230
227,242
228,266
229,234
230,245
231,238
232,262
233,247
234,253
235,271
236,262
237,251
238,281
239,273
240,278
241,243
242,273
243,254
244,276
245,274
246,281
247,276
248,284
249,299
250,251
251,256
252,287
253,275
254,265
255,299
256,296
257,306
258,288
259,260
260,312
261,306
262,274
263,299
264,324
265,318
266,290
267,271
268,298
269,282
270,274
271,298
272,276
273,295
274,305
275,329
276,303
277,312
278,290
279,315
280,347
281,295
282,314
283,316
284,324
285,329
286,327
287,345
288,294
289,329
290,312
291,331
292,349
293,309
294,337
295,318
296,311
297,319
298,338
299,332
300,309
301,315
302,324
303,340
304,324
305,324
306,344
307,356
308,375
309,329
310,348
311,350
312,361
313,348
314,362
315,338
316,395
317,370
318,348
319,365
320,366
321,351
322,349
323,368
324,374
325,382
326,368
327,380
328,320
329,366
330,384
331,376
332,372
333,376
334,355
335,341
336,366
337,366
338,373
339,380
340,384
341,380
342,400
343,384
344,352
345,357
346,389
347,391
348,361
349,377
350,392
351,356
352,390
353,347
354,405
355,403
356,367
357,387
358,408
359,415
360,418
361,370
362,420
363,405
364,415
365,427
366,405
367,402
368,411
369,375
370,442
371,379
372,434
373,406
374,424
375,479
376,409
377,383
378,434
379,434
380,431
381,417
382,440
383,433
384,403
385,454
386,442
387,388
388,461
389,449
390,439
391,435
392,429
393,442
394,430
395,407
396,456
397,429
398,438
399,434
400,449
401,467
402,437
403,452
404,476
405,464
406,448
407,437
408,476
409,444
410,471
411,446
412,411
413,481
414,427
415,449
416,443
417,451
418,463
419,437
420,466
421,464
422,465
423,480
424,479
425,444
426,521
427,495
428,462
429,448
430,484
431,456
432,453
433,473
434,453
435,463
436,467
437,497
438,491
439,433
440,494
441,518
442,498
443,461
444,473
445,492
446,525
447,527
448,529
449,495
450,511
451,457
452,474
453,550
454,479
455,537
456,528
457,486
458,503
459,532
460,527
461,502
462,505
463,492
464,518
465,501
466,489
467,559
468,515
469,543
470,516
471,484
472,507
473,545
474,539
475,544
476,524
477,548
478,538
479,551
480,560
481,548
482,536
483,530
484,520
485,528
486,522
487,568
488,527
489,586
490,570
491,554
492,504
493,550
494,527
495,570
496,547
497,578
498,556
499,571
500,574
501,605
502,520
503,560
504,580
505,550
506,541
507,586
508,594
509,561
510,609
511,559
512,604
513,543
514,584
515,566
516,615
517,604
518,575
519,624
520,568
521,578
522,556
523,593
524,578
525,562
526,598
527,577
528,597
529,576
530,585
531,629
532,539
533,579
534,606
535,620
536,603
537,596
538,626
539,616
540,570
541,608
542,601
543,584
544,569
545,601
546,617
547,631
548,660
549,565
550,596
551,587
552,588
553,568
554,588
555,620
556,640
557,638
558,633
559,587
560,614
561,591
562,627
563,616
564,643
565,643
566,603
567,552
568,642
569,633
570,642
571,623
572,656
573,662
574,645
575,640
576,624
577,625
578,688
579,613
580,646
581,651
582,667
583,630
584,651
585,614
586,641
587,630
588,684
589,671
590,614
591,651
592,658
593,644
594,648
595,659
596,690
597,640
598,650
599,669
600,651
